Organization Name,Organization Name URL,Growth Category,Number of Employees,Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Full Description,Headquarters Location,Description,CB Rank (Company),Acquired by,Acquired by URL,Acquisition Type,Acquisition Terms,Estimated Revenue Range,Founded Date,Founded Date Precision,Operating Status,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,LinkedIn,Founders,Number of Founders,Number of Funding Rounds,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Industries
Quantas Labs,https://www.crunchbase.com/organization/quantas-labs,Growing,1-10,Seed,550000,USD,550000,"Quantas Labs is redefining the landscape of geoscience with its AI-driven Erosion Impact Predictor, a game changer in environmental tech innovation. Integrating AI, statistical modelling, and GIS insights, our platform analyses erosion patterns across diverse terrains. Tackling the pressing global challenge of soil erosion, where 24 billion tons of fertile soil are annually, we promote sustainable land management strategies with data-driven precision.","London, England, United Kingdom",Quantas Labs uses AI to predict erosion risks and offer management solutions.,"100,984",,,,,,2023-01-01,year,Active,,,,,,https://www.quantas.ai,https://www.linkedin.com/company/quantas-labs/,Alex Pourquery,1,1,550000,USD,550000,Faisal Al-Rajhi,1,1,"AgTech, Artificial Intelligence (AI), Machine Learning, Sustainability"
TradeWiser,https://www.crunchbase.com/organization/cmb-524d,,1-10,Pre-Seed,2500000,INR,32752,"TradeWiser is a full-stack company for agri-commodity trading. TradeWiser is a blockchain-secured agro commodity spot market for trading, warehousing services, and financing.","Delhi, Delhi, India","TradeWiser is a blockchain-secured agro commodity spot market for trading, warehousing services, and financing.","101,097",,,,,,2021-11-03,day,Active,,,,,For Profit,https://Tradewiser.io,https://www.linkedin.com/company/tradewiser,Mayank Goel,1,1,2500000,INR,32752,Indigram Labs,,1,"Agriculture, AgTech, Finance, Financial Services, Information Technology, Software"
Demand Side Instruments,https://www.crunchbase.com/organization/demand-side-instruments,,11-50,Series A,3600000,EUR,4073057,"At Demand Side Instruments, they are aware of the finiteness of natural resources around the world and promote a paradigm shift based on energy sobriety. Knowing how to estimate your needs and respond to them by adjusting to the limits means preserving the resources of tomorrow today.  They imagine and design tailor-made innovative solutions to enable urban and rural ecosystems to adapt to climate change today and mitigate it by relying on new information and communication technologies.","Caen, Basse-Normandie, France","Demand Side Instruments, they are aware of the finiteness of natural resources around the world.","101,156",,,,,$1M to $10M,2013-01-01,year,Active,,,,,For Profit,https://dsinstruments.fr/#,https://www.linkedin.com/company/demand-side-instruments/,Frederic Villain,1,3,4200000,EUR,4898402,"Normandie Incubation, Gedia Energies et Services",1,2,"Agriculture, AgTech, Energy, Information Technology, Renewable Energy, Wireless"
Barrix Agro Sciences,https://www.crunchbase.com/organization/barrix-agro-sciences,Growing,251-500,Series B,217000,USD,217000,"Barrix Agro Sciences seeks to develop technology enabled cost-effective solutions to reduce the use of pesticides in crop production, thereby increasing pre and post harvest yield. The company's pheromone products include the Barrix Fruit fly traps that target 83 species of pests in fruit crops and the Barrix vegetable fly traps that target 226 species of pests in vegetable crops. Barrix Agro Sciences has served about 15,000 farmers and sold around 50,000 traps in 16 districts of Karnataka, Andhra Pradesh, and Tamil Nadu. It distributes its products through live demos and workshops for awareness building. The company plans to launch pheromone traps to protect agriculturally important crops like rice, wheat, sugarcane, brinjal, and cotton in the future. Barrix Agro received a cash grant of INR 5,00,000 as winners of the Sankalp Agriculture, Food, and Rural Business Award sponsored by Omnivore Partners.","Bangalore, Karnataka, India",Barrix Agro Sciences provides performing and outstanding products to the humanity through farmers and to increase the GDP of the world.,"101,254",,,,,$1M to $10M,2011-01-01,year,Active,,,,,For Profit,http://www.barrix.in/,https://www.linkedin.com/company/barrix-agro-sciences/,Lokesh Makam,1,6,3408956,USD,3408956,"Omnivore, IIMA Ventures",1,2,"Agriculture, AgTech, Biotechnology, Farming"
Ripe Robotics,https://www.crunchbase.com/organization/ripe-robotics,,1-10,Pre-Seed,410000,USD,410000,"Ripe Robotics is an autonomous robot intended to pick and harvest ripe fruits. Their commercial Eve robot is designed to pick apples, plums, peaches, and nectarines. Their fruit-picking robot directly competes with human labor while also offering in-depth analytics, allowing farmers to obtain information on how to increase produce quantity and quality as well as spot weeds and crop illnesses.","Ardmona, Victoria, Australia",Ripe Robotics is a producer of fruit-picking robots.,"101,325",,,,,,2019-03-01,month,Active,,,,,For Profit,https://www.riperobotics.com,https://www.linkedin.com/company/riperobotics/,,,1,410000,USD,410000,"Startmate, AfterWork Ventures",,2,AgTech
Gearbox Innovations,https://www.crunchbase.com/organization/gearbox-innovations,Growing,11-50,Seed,300000,EUR,343698,"Gearbox Innovations  is a create smart products which simplify, improve or accelerate daily work. They do this with a new generation of image analyses, efficient workstations, robotics and smart software. Together with our clients, we create prototypes out of ideas to test them for usability, feasibility, and ‘smartness’, in order to subsequently develop them into the desired product. This also allows for customisation, whereby we combine our broad knowledge and experience in High Tech industries with a practical and incremental approach.","Maasdijk, Zuid-Holland, The Netherlands","Gearbox Innovations  is a create smart products which simplify, improve or accelerate daily work.","101,392",,,,,Less than $1M,2016-01-01,year,Active,,,,,For Profit,http://gearboxinnovations.com/en/,https://www.linkedin.com/company/gearbox-innovations/,Johan Kreeft,1,1,300000,EUR,343698,UNIIQ,1,1,"AgTech, Industrial Automation"
Cocampo,https://www.crunchbase.com/organization/cocampo,,11-50,Series C,400000,EUR,423452,,"Madrid, Madrid, Spain","Cocampo is a consulting firm that offers agrarian digitization, digital transformation, financial services and real estate.","101,396",,,,,,2022-02-23,day,Active,,,,,For Profit,https://www.cocampo.com/,https://www.linkedin.com/company/cocampo/,Regino Coca Barrionuevo,1,2,720000,EUR,739524,,,,"AgTech, Consulting, Financial Services, Real Estate"
Nu Genes,https://www.crunchbase.com/organization/nu-genes,,51-100,Seed,6000000,USD,6000000,"Nu Genes Pvt. Ltd., Formerly known as “Nitya seed sciences Pvt. Ltd. is a seed company engaged in hybrid development, seed production, seed processing and seed marketing.","Secunderabad, Andhra Pradesh, India","Nu Genes company engaged in hybrid development, seed production, seed processing and seed marketing.","101,400",,,,,$10M to $50M,2004-01-01,year,Active,,,,,For Profit,http://nugenes.net/,https://www.linkedin.com/company/nu-genes-private-limited/about/,PN Reddy,1,1,6000000,USD,6000000,Sathguru Catalyzer Advisors,1,1,"Agriculture, AgTech, Farming"
Greener,https://www.crunchbase.com/organization/greener-ac26,,1-10,Pre-Seed,113000,GBP,148187,"Greener uses maths to make it easy for businesses to discover, connect, and collaborate with perfectly suited sustainability partners","Bath, Bath and North East Somerset, United Kingdom",Greener is a B2B sustainability matchmaking platform for food and drink SMEs.,"101,570",,,,,Less than $1M,2019-01-01,year,Active,,,,,For Profit,https://www.greener.io/,https://www.linkedin.com/company/greenerio/about/,"Dan Yates, Mehrnaz Tajmir",2,2,255000,GBP,345390,"Innovate UK, SFC Capital",2,2,"AgTech, B2B, CleanTech, Environmental Consulting, Food and Beverage, Software, Supply Chain Management"
Solusolo,https://www.crunchbase.com/organization/solusolo,,11-50,Pre-Seed,1400000,BRL,292459,"Solusolo is a manufacturer of Kaizen TMT, a Japanese biotechnology product that helps restore soil health. It provides an organic product, ideal for sustainable planting using Japanese biotechnology that stimulates the growth of beneficial microorganisms and helps rural producers increase profitability without harming the environment or society.","Varginha, Minas Gerais, Brazil",Solusolo is a manufacturer of a Japanese biotechnology product that helps restore soil health.,"101,639",,,,,,2018-01-01,year,Active,,,,,For Profit,https://solusolo.com.br/,https://www.linkedin.com/company/solusolo/,,,1,1400000,BRL,292459,Ventiur,1,1,"AgTech, Biotechnology, Chemical, Chemical Engineering"
Beemmunity,https://www.crunchbase.com/organization/beemmunity,,1-10,Pre-Seed,250000,USD,250000,Pesticide protection for bees.,"Boulder, Colorado, United States",Pollinator rewilding kits. Sustainably made and released in batches to rebridge pollinator habitats from your backyard.,"101,682",,,,,Less than $1M,2020-10-15,day,Active,,,,,For Profit,http://www.beemmunity.co,https://www.linkedin.com/company/beemmunity/,"Abraham McCauley, James Webb",2,1,250000,USD,250000,"IndieBio, SOSV",1,2,"AgTech, Natural Resources, Social Impact, Sustainability"
S4,https://www.crunchbase.com/organization/solapa4,,11-50,Series A,,,,"S4 is a technology service company that provides risk management solutions to ensure food production. It also develops index-based coverage to transfer the agriculture industry's volatilities to the financial markets, through OTC-derivatives contracts. The company offers products and services are used by a broad range of customers including large growers, crop protection and seeds suppliers, crop insurance providers, banking, and commodity exchanges. S4 integrates the harvest information with a planting plan, seed density, and soil analysis. They had developed a decision-making geo-referenced platform for the agricultural producer. They seek to improve the decision-making process in complex environments to collaborate in the global challenge of generating quality food for humanity. S4 was founded on 2011 and is headquartered in Buenos Aires, Argentina.","Buenos Aires, Distrito Federal, Argentina",S4 is a technology service company that provides risk management solutions to ensure food production.,"101,980",,,,,$1M to $10M,2011-11-01,day,Active,,,,,For Profit,http://www.s4agtech.com,http://www.linkedin.com/company/s4agtech,"Laura Lukasik, Mariano J. Tamburrino, Tomás Peña",3,7,3425000,USD,3425000,"Arch Grants, SixThirty, The Yield Lab, BioGenerator, Cultivation Capital",3,13,"Agriculture, AgTech, Business Intelligence, Data Visualization, FinTech, Food Processing, Insurance, Risk Management"
Fruittex,https://www.crunchbase.com/organization/fruittex,,1-10,Seed,,,,"Fruittex is an innovative platform operating at the nexus of agricultural technology (AgTech), financial technology (Fintech), and climate technology (Climate Tech). The company is dedicated to revolutionizing the agricultural sector by integrating the power of blockchain technology, thus paving the way for a more sustainable and financially inclusive future. At its core, Fruittex offers a unique agricultural tokenization platform that enables farmers to tokenize their orchards and trees, creating Fruittex Trees Tokens (FTTs). These tokens represent fractional ownership of the fruit trees and are tradeable assets in the digital marketplace. This system provides farmers with a novel way to monetize their assets and gain liquidity, bypassing traditional financial barriers. Fruittex's marketplace is not just a trading platform; it's a comprehensive ecosystem that supports sustainable agriculture, promotes transparency, and ensures security through blockchain technology. The platform empowers investors to diversify their portfolios by investing in tangible agricultural assets, fostering a symbiotic relationship between investors and farmers. A significant aspect of Fruittex's operations revolves around its carbon credit trading system. The platform incentivizes sustainable farming practices by enabling the creation, trading, and retirement of carbon credits, contributing to global efforts in mitigating climate change. By tokenizing carbon credits, Fruittex ensures that environmental sustainability is at the forefront of its business model. Key Features: Tokenization of Agricultural Assets:  Farmers can tokenize their orchards and trees, transforming them into FTTs, which represent real-world agricultural assets in the digital marketplace. Trading Platform:  Fruittex provides a versatile trading platform where investors can buy, sell, or trade FTTs, offering a seamless trading experience and enhancing liquidity in the agricultural sector. Carbon Credit Trading:  The platform supports the creation, trading, and retirement of carbon credits, promoting environmental sustainability and offering a new avenue for green investments. Blockchain Integration:  Leveraging blockchain technology, Fruittex ensures the security, transparency, and immutability of transactions, enhancing trust and reliability in the agricultural investment space. Fruittex is more than just a company; it's a movement towards a more sustainable, financially inclusive, and environmentally conscious future. The platform bridges the gap between traditional farming and digital finance, creating a world where agriculture thrives through innovation and technology.","Louis Trichardt, NA - South Africa, South Africa","Fruittex integrates AgTech with blockchain, enabling tokenization of agricultural assets and a carbon credit marketplace.","101,983",,,,,,2020-09-03,day,Active,,,,,For Profit,https://fruittex.co.za/,,Johan Immelman,1,2,171955,USD,171955,,,,"AgTech, Financial Services, FinTech, Food and Beverage, Information Technology"
